scrape_date,source_url,job_title,company,location,salary,salary_min_usd,salary_max_usd,salary_currency,salary_status,skills,source,status
2026-05-28,https://itviec.com/it/backend-developer-golang-api-microservices-smartbit-technology-0810,"Backend Developer (Golang, API, Microservices)",Microservices Smartbit Technology,,Sign in to view salary,,,,login_required,API;Golang;Microservices;NoSQL;PostgreSql;Redis,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-golang-mysql-postgresql-nginx-unity-sport-jsc-3033,Backend Developer (Golang/ MySQL/ PostgreSQL/ Nginx),Unity Sport Jsc,,Sign in to view salary,,,,login_required,API;Golang;MySQL;Nginx;PostgreSql;Redis,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-golang-python-java-dnse-4143,Backend Developer (Golang/ Python/Java),Python Java Dnse,,Sign in to view salary,,,,login_required,API;Golang;Java;Microservices;Python;SQL,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-java-c-oop-spring-boot-cong-ty-co-phan-metaforce-4714,"Backend Developer (Java, C++, OOP, Spring Boot)",Co Phan Metaforce,,Sign in to view salary,,,,login_required,C++;GitHub;Java;OOP;SQL;Spring Boot,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-java-golang-nodejs-cong-ty-co-phan-chung-khoan-kafi-1043,"Backend Developer (Java, Golang, NodeJS)",Chung Khoan Kafi,,Sign in to view salary,,,,login_required,AWS;Git;Golang;Java;Kafka;NodeJS,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-java-kotlin-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-2010,Backend Developer (Java/Kotlin),Center Vietnam Prdcv,,Sign in to view salary,,,,login_required,Docker;Kotlin;MVVM;MySQL;OOP;Spring Boot,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-php-python-sql-skylabvn-0058,Backend Developer (PHP/ Python/ SQL),Python Sql Skylabvn,,Sign in to view salary,,,,login_required,API;Database;PHP;Python;SQL,ItViec,ok
2026-05-28,https://itviec.com/it/backend-developer-python-golang-simple-solution-4123,"Backend Developer (Python, Golang)",Golang Simple Solution,,Sign in to view salary,,,,login_required,API;Database;Docker;MongoDB;MySQL;Python,ItViec,ok
2026-05-28,https://itviec.com/it/backend-engineer-golang-tu-4-nam-kinh-nghiem-viettel-cyber-security-3935,Backend Engineer (Golang) từ 4 năm kinh nghiệm,Viettel Cyber Security,,Sign in to view salary,,,,login_required,Golang;Microservices;Python,ItViec,ok
2026-05-28,https://itviec.com/it/brse-project-leader-japanese-speaking-panasonic-vietnam-group-panasonic-r-d-center-vietnam-prdcv-5721,BrSE/ Project Leader (Japanese Speaking),Center Vietnam Prdcv,,Sign in to view salary,,,,login_required,Bridge Engineer;Business Analysis;Japanese;Mobile Apps;Project Management;Web API,ItViec,ok
2026-05-28,https://itviec.com/it/bridge-engineer-brse-erp-consultant-japanese-n2-systemexe-viet-nam-0631,Bridge Engineer - BrSE / ERP Consultant (Japanese N2),Systemexe Viet Nam,,Sign in to view salary,,,,login_required,Bridge Engineer;Business Analysis;ERP;IT Support;Japanese;Japanese IT Communication,ItViec,ok
2026-05-28,https://itviec.com/it/bridge-software-engineer-onsite-ho-chi-minh-city-hitachi-digital-services-1440,Bridge Software Engineer (onsite Ho Chi Minh City),Hitachi Digital Services,,Sign in to view salary,,,,login_required,Bridge Engineer;Japanese;Japanese IT Communication,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-hitachi-digital-services-4653,Business Analyst,Hitachi Digital Services,,Sign in to view salary,,,,login_required,Agile;Business Analysis;English;Scrum,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-kztek-4610,Business Analyst,Business Analyst Kztek,,Sign in to view salary,,,,login_required,Business Analysis;Data Analysis;IoT,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-agile-scrum-s3-corporation-s3corp-5938,Business Analyst (Agile/Scrum),S3 Corporation S3corp,,Sign in to view salary,,,,login_required,Agile;Business Analysis;Scrum;System Admin,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-bank-finance-thien-hoang-solutions-jsc-0704,"Business Analyst (Bank, Finance)",Hoang Solutions Jsc,,Sign in to view salary,,,,login_required,Agile;Business Analysis;Scrum;User story,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-crm-gimasys-0026,Business Analyst (CRM),Analyst Crm Gimasys,,Sign in to view salary,,,,login_required,Business Analysis;CRM;Salesforce,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-customer-care-center-phu-hung-securities-phs-5400,Business Analyst (Customer Care Center),Hung Securities Phs,,Sign in to view salary,,,,login_required,AI;Automation Test;Business Analysis;CRM;Project Management;UI-UX,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-erp-crm-cong-ty-co-phan-cong-nghe-tri-tue-nhan-tao-astral-x-2637,"Business Analyst (ERP, CRM)",Tao Astral X,,Sign in to view salary,,,,login_required,Business Analysis;CRM;ERP,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-jira-agile-sql-mercatus-2355,"Business Analyst (JIRA, Agile, SQL)",Agile Sql Mercatus,,Sign in to view salary,,,,login_required,Agile;English;Product strategy;SQL;Scrum,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-mockups-erp-sql-verp-technology-solutions-jsc-0508,"Business Analyst (Mockups, ERP, SQL)",Technology Solutions Jsc,,Sign in to view salary,,,,login_required,Business Analysis;ERP;Mockups;Odoo;SAP;SQL,ItViec,ok
2026-05-28,https://itviec.com/it/business-analyst-chuyen-nganh-ke-toan-uu-tien-odoo-xboss-0321,Business Analyst (Phân hệ kế toán - ERP),Tien Odoo Xboss,,Sign in to view salary,,,,login_required,Business Analysis;ERP;Odoo;Oracle;SAP,ItViec,ok
